"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1671","Проверка перехода в конструктор со страницы логина","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1401","Проверка перехода в конструктор со страницы логина","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1880","Проверка закрытия модального окна ингредиента","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1801","Проверка перехода в ленту заказов","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1367","Проверка увеличения счётчика ингредиента при добавлении","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1600","Проверка перехода в ленту заказов","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","4629","Проверка увеличения счётчика за сегодня после оформления заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","5365","Проверка появления нового заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","1293","Проверка открытия модального окна ингредиента","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","2867","Проверка увеличения общего счётчика после оформления заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","2863","Проверка увеличения счётчика за сегодня после оформления заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","5670","Проверка появления нового заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","1406","Проверка увеличения счётчика ингредиента при добавлении","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","1325","Проверка открытия модального окна ингредиента","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
"","5166","Проверка увеличения общего счётчика после оформления заказа","tests","2025-11-29","passed","2025-11-29","TestOrderFeed","test_order_feed","",""
"","2030","Проверка закрытия модального окна ингредиента","tests","2025-11-29","passed","2025-11-29","TestMainPage","test_main_functionality","",""
